Date and Time:                Sat Oct 18 13:19:54.838 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	270
478.84332	298
479.35983	321
479.87631	346
480.39282	334
480.9093	321
481.42575	300
481.94223	331
482.45868	316
482.97513	307
483.49158	342
484.00803	320
484.52444	318
485.04086	321
485.55728	319
486.07367	346
486.59006	312
487.10645	321
487.62283	350
488.13919	326
488.65555	338
489.17191	335
489.68826	342
490.20459	331
490.72092	323
491.23724	325
491.75354	338
492.26984	339
492.78613	352
493.30243	329
493.8187	354
494.33496	327
494.85123	345
495.36746	356
495.8837	336
496.39993	346
496.91617	346
497.43237	330
497.94858	369
498.46478	350
498.98096	359
499.49713	335
500.01331	325
500.52945	369
501.04562	357
501.56174	346
502.07788	347
502.59399	338
503.11011	344
503.62622	352
504.1423	356
504.65839	345
505.17447	354
505.69052	346
506.20657	348
506.72263	362
507.23865	331
507.75467	340
508.27069	341
508.78668	334
509.30267	335
509.81866	356
510.33463	352
510.85059	351
511.36655	328
511.88248	339
512.39844	327
512.91437	331
513.43024	334
513.94617	316
514.46204	349
514.97791	342
515.49377	332
516.00964	354
516.52551	340
517.04132	338
517.55719	355
518.073	360
518.58881	345
519.10461	343
519.62036	334
520.13617	357
520.65192	351
521.16766	357
521.68341	348
522.1991	360
522.71484	357
523.23053	366
523.74622	361
524.2619	338
524.77759	352
525.29327	337
525.8089	356
526.32452	327
526.84015	337
527.35577	363
527.8714	366
528.38696	343
528.90259	331
529.41815	355
529.93372	350
530.44922	346
530.96478	343
531.48029	346
531.99579	303
532.51129	341
533.02679	339
533.5423	308
534.05774	339
534.57318	352
535.08862	366
535.60406	332
536.11945	365
536.63489	340
537.15027	337
537.66565	329
538.18097	368
538.69635	360
539.21167	334
539.72699	326
540.24231	339
540.75763	350
541.27289	326
541.78821	331
542.30347	332
542.81873	338
543.33392	360
543.84918	331
544.36438	347
544.87958	347
545.39478	346
545.90991	332
546.42511	328
546.94025	352
547.45538	338
547.97052	353
548.4856	339
549.00073	344
549.51581	347
550.03088	353
550.5459	323
551.06097	334
551.57599	361
552.091	348
552.60602	336
553.12097	351
553.63593	333
554.15094	327
554.66583	330
555.18079	336
555.69568	362
556.21063	334
556.72552	324
557.24036	344
557.75525	337
558.27008	334
558.78491	317
559.29974	317
559.81458	353
560.32935	342
560.84412	339
561.35889	346
561.87366	338
562.38837	330
562.90308	327
563.41779	318
563.9325	327
564.44714	341
564.96179	327
565.47644	336
565.99109	334
566.50574	341
567.02032	322
567.53491	331
568.0495	334
568.56403	323
569.07861	332
569.59314	337
570.1076	334
570.62213	337
571.1366	334
571.65106	326
572.16553	330
572.67999	328
573.1944	320
573.7088	305
574.22321	327
574.73755	332
575.25195	329
575.7663	353
576.28058	319
576.79492	329
577.3092	330
577.82349	315
578.33777	312
578.85205	321
579.36627	338
579.88049	311
580.39471	328
580.90887	339
581.42303	332
581.93719	322
582.45135	352
582.96545	338
583.47955	317
583.99365	323
584.50775	318
585.02179	340
585.53583	333
586.04987	309
586.5639	326
587.07788	309
587.59186	342
588.10583	321
588.61975	321
589.13373	324
589.64758	342
590.1615	304
590.67542	326
591.18927	329
591.70306	320
592.21692	310
592.73071	332
593.24451	326
593.7583	311
594.27209	339
594.78583	324
595.29956	327
595.81323	329
596.32697	335
596.84064	329
597.35425	326
597.86792	314
598.38153	334
598.89514	318
599.40875	338
599.9223	340
600.43585	308
600.9494	354
601.46289	311
601.97638	344
602.48987	322
603.00336	322
603.51678	311
604.03021	326
604.54364	321
605.05701	321
605.57043	349
606.08374	308
606.59711	308
607.11041	333
